mat_type,mat_group
Acoustic ceiling tile aluminum,Acoustic ceilings
Acoustic ceiling tile fiber,Acoustic ceilings
Acoustic ceiling tile steel,Acoustic ceilings
Acoustic ceilings - other,Acoustic ceilings
Adhesives and sealants,Adhesives and sealants
Air and vapor barriers,Air and vapor barriers
Aluminum - other,Aluminum
Aluminum composite panel ACM,Cladding
Aluminum door,Doors and frames
Aluminum door frame,Doors and frames
Aluminum framed glass entrances,Doors and frames
Aluminum framed window,Windows and frames
Aluminum sheet,Aluminum
Aluminum storefront or curtain wall,Windows and frames
Applied fireproofing - other,Applied fireproofing
Architectural fiber cement panel,Cladding
Asphalt shingles,Roofing and waterproofing
Brass,Other metals
Brick clay,Masonry
Built up roofing,Roofing and waterproofing
CMU,Masonry
Carpet,Flooring and tile
Cast bronze,Other metals
Ceramic tile,Flooring and tile
Cladding - other,Cladding
Closed cell spray polyurethane foam,Insulation
Coatings - other,Coatings
Cold formed steel framing,Steel
Concrete - other,Concrete
Copper sheet,Other metals
Cross laminated timber CLT,Wood and composites
Decking,Steel
Doors and frames - other,Doors and frames
EPDM,Roofing and waterproofing
Expanded polystyrene EPS,Insulation
Extruded polystyrene XPS,Insulation
Extrusion,Aluminum
Fasteners,Other metals
Fiberglass blanket,Insulation
Fiberglass door,Doors and frames
Fiberglass framed window,Windows and frames
Flooring and tile - other,Flooring and tile
GFRC general,Concrete
GFRC panel,Cladding
Glass mat gypsum board,Gypsum
Glazing - other,Glazing
Glue laminated timber GLT,Wood and composites
Gypsum board,Gypsum
HDPE,Roofing and waterproofing
Hardwood,Wood and composites
Heavy timber framing,Wood and composites
Hollow structural sections HSS,Steel
Hot-rolled sections,Steel
Insulated glass unit IGU,Glazing
Insulated metal panel IMP,Cladding
Insulation - other,Insulation
Intumescent,Applied fireproofing
Laminated strand lumber LSL,Wood and composites
Laminated veneer lumber LVL,Wood and composites
Loose-fill cellulose,Insulation
Masonry - other,Masonry
Medium density fiberboard MDF,Wood and composites
Mineral wool high density,Insulation
Mineral wool low density,Insulation
Modified bitumen,Roofing and waterproofing
Mortar and grout,Masonry
Open web joists,Steel
Oriented strand board OSB,Wood and composites
Other,Other
PVC,Roofing and waterproofing
Paint,Coatings
Parallel strand lumber PSL,Wood and composites
Plate,Steel
Polyisocyanurate PIR,Insulation
Precast,Concrete
Raised access floor system,Flooring and tile
Ready mix LW 3000,Concrete
Ready mix LW 4000,Concrete
Ready mix LW 5000,Concrete
Ready mix NW 2500,Concrete
Ready mix NW 3000,Concrete
Ready mix NW 4000,Concrete
Ready mix NW 5000,Concrete
Ready mix NW 6000,Concrete
Ready mix NW 8000,Concrete
Ready mix unknown,Concrete
Rebar and reinforcement,Steel
Resilient flooring rubber,Flooring and tile
Resilient flooring vinyl,Flooring and tile
Roll formed metal panel aluminum,Cladding
Roll formed metal panel steel,Cladding
Roofing and waterproofing - other,Roofing and waterproofing
Softwood framing,Wood and composites
Softwood plywood,Wood and composites
Spray applied cementitious,Applied fireproofing
Steel - other,Steel
Steel door,Doors and frames
Steel door frame,Doors and frames
Steel framed window,Windows and frames
Steel sheet,Steel
Stone masonry,Masonry
Stone tile,Flooring and tile
Stucco finish,Cladding
Suspension assembly,Acoustic ceilings
Synthetic composites,Synthetic composites
TPO,Roofing and waterproofing
Terracotta units,Cladding
Terrazzo slabs and tiles,Flooring and tile
Vinyl framed window,Windows and frames
Wall coverings,Wall coverings
Windows and frames - other,Windows and frames
Wood I joists,Wood and composites
Wood and composites - other,Wood and composites
Wood door frame,Doors and frames
Wood framed window,Windows and frames
Wood or composite door,Doors and frames
Zinc sheet,Other metals
